engagementRate,shareRate,saveRate,commentRate,viewToFollowerRatio,postingConsistency,growthRate30d,audienceQuality,commentQuality,contentCategoryFit,demographicMatch,authenticityRaw,microCreatorBonus,campaign_success,archetype
0.042,0.08,0.22,0.12,0.35,0.92,0.55,0.88,0.9,0.72,0.5,0.91,1.0,1,micro_beauty_ugc_hit
0.038,0.06,0.18,0.14,0.28,0.85,0.48,0.85,0.88,0.68,0.5,0.89,1.0,1,micro_fashion_haul_hit
0.051,0.1,0.25,0.1,0.42,0.95,0.62,0.9,0.92,0.78,0.5,0.93,1.0,1,micro_amazon_finds_hit
0.035,0.05,0.15,0.11,0.25,0.75,0.4,0.82,0.85,0.65,0.5,0.87,1.0,1,micro_home_ugc_hit
0.048,0.09,0.2,0.13,0.38,0.88,0.52,0.87,0.89,0.7,0.5,0.9,1.0,1,micro_food_review_hit
0.012,0.02,0.04,0.08,0.05,0.4,0.15,0.55,0.7,0.4,0.5,0.75,1.0,0,micro_low_engagement_miss
0.008,0.01,0.02,0.05,0.03,0.25,0.1,0.45,0.6,0.35,0.5,0.65,1.0,0,micro_botty_comments_miss
0.015,0.03,0.05,0.09,0.08,0.5,0.2,0.6,0.72,0.42,0.5,0.7,0.72,0,mega_misapplied_micro_model
0.011,0.02,0.03,0.07,0.04,0.35,0.12,0.5,0.68,0.38,0.5,0.72,0.72,0,mega_tech_low_commerce_fit
0.018,0.04,0.06,0.1,0.12,0.55,0.22,0.62,0.75,0.45,0.5,0.78,0.72,0,mega_brand_awareness_only
0.022,0.05,0.08,0.11,0.15,0.6,0.28,0.68,0.78,0.5,0.5,0.8,0.72,0,mid_tech_sponsor_ok_not_ugc
0.028,0.06,0.12,0.12,0.2,0.7,0.35,0.75,0.82,0.58,0.5,0.84,0.72,0,mid_lifestyle_mixed
0.045,0.09,0.21,0.13,0.32,0.9,0.5,0.86,0.88,0.71,0.5,0.88,1.0,1,micro_skincare_routine
0.04,0.07,0.19,0.12,0.3,0.87,0.47,0.84,0.87,0.69,0.5,0.87,1.0,1,micro_grwm_affiliate
0.036,0.06,0.17,0.11,0.27,0.82,0.44,0.83,0.86,0.66,0.5,0.86,1.0,1,micro_study_cafe
0.044,0.08,0.2,0.14,0.33,0.89,0.51,0.85,0.88,0.7,0.5,0.89,1.0,1,micro_fitness_affiliate
0.033,0.05,0.14,0.1,0.22,0.72,0.38,0.8,0.84,0.62,0.5,0.84,1.0,0,micro_inconsistent_posting
0.01,0.02,0.03,0.06,0.04,0.3,0.08,0.48,0.65,0.36,0.5,0.68,1.0,0,micro_fake_engagement_spike
0.052,0.11,0.24,0.11,0.4,0.93,0.58,0.89,0.91,0.76,0.5,0.92,1.0,1,micro_high_save_commerce
0.039,0.07,0.18,0.13,0.29,0.86,0.46,0.84,0.87,0.67,0.5,0.88,1.0,1,micro_dupatta_fashion_in
0.041,0.08,0.19,0.12,0.31,0.88,0.49,0.85,0.88,0.69,0.5,0.89,1.0,1,micro_phone_gadget_review_micro
0.046,0.09,0.23,0.14,0.36,0.91,0.54,0.9,0.91,0.74,0.56,0.92,1.0,1,real_case_d2c_skin_q1_win
0.043,0.08,0.2,0.13,0.34,0.89,0.5,0.88,0.9,0.72,0.58,0.9,1.0,1,real_case_tech_accessory_launch
0.032,0.05,0.13,0.1,0.2,0.69,0.31,0.77,0.81,0.58,0.46,0.84,1.0,0,real_case_low_fit_beauty_miss
0.037,0.06,0.15,0.11,0.24,0.74,0.36,0.8,0.84,0.61,0.49,0.85,1.0,0,real_case_generic_awareness_low_roi
0.049,0.1,0.24,0.13,0.39,0.94,0.6,0.91,0.92,0.77,0.6,0.93,1.0,1,real_case_micro_gadget_affiliate_win
0.034,0.05,0.12,0.09,0.19,0.66,0.27,0.72,0.79,0.56,0.44,0.82,1.0,0,real_case_low_posting_consistency_miss
0.02,0.03,0.06,0.09,0.1,0.52,0.19,0.63,0.74,0.47,0.53,0.79,0.72,0,real_case_mega_awareness_but_low_conv
0.026,0.04,0.08,0.1,0.14,0.59,0.24,0.67,0.77,0.52,0.55,0.81,0.72,0,real_case_mid_tech_static_growth
0.042,0.08,0.2,0.12,0.3,0.86,0.47,0.85,0.88,0.69,0.57,0.89,1.0,1,real_case_home_organizer_brand_win
0.045,0.09,0.21,0.14,0.33,0.9,0.53,0.87,0.9,0.73,0.59,0.91,1.0,1,real_case_creator_bundle_drop_win
